Run,Assay Type,BioProject,BioSample,Center Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,Collection_date,Library Name,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,lat_lon,BioSampleModel,Isolation_source,Host,Depth,nominal_length (run),run_id (run),env_broad_scale,env_local_scale,env_medium,env_biome,env_feature,env_material,samp_size,samp_mat_process,elev,samp_collect_device,Source_material_ID,BRC_attached_to_frame_number,metals_treatment,organic_enrichment_pulse,press_organic_enrichment_treatment,Replicate_number,sediment_origin,Sequencing_method,Temp,Investigation_type,max_filter_size,min_filter_size,sequencing_machine,site_name,target_molecules,Chlorophyll,landuse,rel_to_oxygen,diss_inorg_carb,Molecule,Isolate,samp_volume,Salinity,BIOME,std_norm_factor,Lake_Name,Block,SUMMER,WINTER,env_package,feature,material,diss_oxygen,Strain,bacteria_carb_prod,beam_atten,beam_trans,collection_time,corr_irradiance,density,fluorescence,par,pressure,sampling_cruise,sigma-theta,surf_irradiance,turbidity,Gene_target,sampling_spot,bacterial_count,conduc,diss_oxy,oxy_sat,primer_target,project_name,environment_biome,environment_feature,environment_material,Library,Replicate,SAMPLE_TYPE,Target_gene,target_subfragment,sediment_depth,target,Time,Treatment,Sample_Name,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Sample_ID,alkalinity,Biological.Replicate,Calcium,Chloride,primers_target,Sodium,tot_phosp,AssemblyName,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(depth),geographic_location_(latitude),geographic_location_(longitude),down_par,SAMPLE,tot_depth_water_col,Description,filter_size_um,PH,primers,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,Title,Alias,ENA_CHECKLIST,Cultivar,Ecotype
SRR5343988,RNA-Seq,PRJNA369309,SAMN06563310,SINGAPORE CENTRE FOR ENVIRONMENTAL LIFE SCIENCES ENGINEERING,public,SRX2640666,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,sediment metagenome,ILLUMINA,2017-07-01T00:00:00Z,control-control-rep3,SRP101900,202,3870080630,2341881120,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",13-Jun-2013,CC3,Australia,Oceania,"Australia:Sydney\,Chowder Bay",33.85 S 151.25 E,Metagenome or environmental,sediment,Not applicable,,,,,,,,,,,,,,CC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5343989,RNA-Seq,PRJNA369309,SAMN06563309,SINGAPORE CENTRE FOR ENVIRONMENTAL LIFE SCIENCES ENGINEERING,public,SRX2640667,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,sediment metagenome,ILLUMINA,2017-07-01T00:00:00Z,control-control-rep18,SRP101900,202,4054889016,2451917622,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",13-Jun-2013,CC18,Australia,Oceania,"Australia:Sydney\,Chowder Bay",33.85 S 151.25 E,Metagenome or environmental,sediment,Not applicable,,,,,,,,,,,,,,CC18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5216503,RNA-Seq,PRJNA364785,SAMN06264354,JGI,public,SRX2526714,Illumina HiSeq 2500,PAIRED,other,METATRANSCRIPTOMIC,aquatic metagenome,ILLUMINA,2017-01-29T00:00:00Z,Gp0147108,SRP098495,302,35384193910,17810280185,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2015-04-11,BBBZH,USA,North America,USA: Chesapeake Bay,39.2454 N 76.028 W,Metagenome or environmental,Chesapeake Bay,not applicable,,270,10710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5216504,RNA-Seq,PRJNA364784,SAMN06264819,JGI,public,SRX2526715,Illumina HiSeq 2500,PAIRED,other,METATRANSCRIPTOMIC,aquatic metagenome,ILLUMINA,2017-01-29T00:00:00Z,Gp0147107,SRP098496,302,40875042244,22436329243,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",2015-04-11,BBBZG,USA,North America,USA: Chesapeake Bay,39.2454 N 76.028 W,Metagenome or environmental,Chesapeake Bay,not applicable,,270,10710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5216636,RNA-Seq,PRJNA364787,SAMN06264818,JGI,public,SRX2526847,Illumina HiSeq 2500,PAIRED,other,METATRANSCRIPTOMIC,aquatic metagenome,ILLUMINA,2017-01-29T00:00:00Z,Gp0147110,SRP098497,302,32102646206,16092085550,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",2015-04-13,BBBZN,USA,North America,USA: Chesapeake Bay,38.0754 N 76.1533 W,Metagenome or environmental,Chesapeake Bay,not applicable,,270,10710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5244433,AMPLICON,PRJNA361508,SAMN06320722,VRIJE UNIVERSITEIT AMSTERDAM,public,SRX2551123,Illumina MiSeq,PAIRED,cDNA,METATRANSCRIPTOMIC,peat metagenome,ILLUMINA,2017-02-15T00:00:00Z,Ab2011-60,SRP099222,302,10772340,6870474,"unknown_contigs,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2011-06-03,Ab2011-60-RNA,Sweden,Europe,Sweden:Abisko,68.359 N 18.81 E,"MIMARKS.survey,MIGS/MIMS/MIMARKS.soil",,,0-20,,,,,,tundra ENVO:01000180,sphagnum bog ENVO:00002268,peat soil,,,340m,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5244435,AMPLICON,PRJNA361508,SAMN06320721,VRIJE UNIVERSITEIT AMSTERDAM,public,SRX2551125,Illumina MiSeq,PAIRED,cDNA,METATRANSCRIPTOMIC,peat metagenome,ILLUMINA,2017-02-15T00:00:00Z,Ab2011-59,SRP099222,302,10632212,6660252,"fastq,sra,unknown_contigs","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",2011-06-03,Ab2011-59-RNA,Sweden,Europe,Sweden:Abisko,68.359 N 18.81 E,"MIMARKS.survey,MIGS/MIMS/MIMARKS.soil",,,0-20,,,,,,tundra ENVO:01000180,sphagnum bog ENVO:00002268,peat soil,,,340m,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,W,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5244436,AMPLICON,PRJNA361508,SAMN06320720,VRIJE UNIVERSITEIT AMSTERDAM,public,SRX2551126,Illumina MiSeq,PAIRED,cDNA,METATRANSCRIPTOMIC,peat metagenome,ILLUMINA,2017-02-15T00:00:00Z,Ab2011-58,SRP099222,151,36925238,22189840,"fastq,sra,unknown_contigs","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",2011-06-03,Ab2011-58-RNA,Sweden,Europe,Sweden:Abisko,68.359 N 18.81 E,"MIMARKS.survey,MIGS/MIMS/MIMARKS.soil",,,0-20,,,,,,tundra ENVO:01000180,sphagnum bog ENVO:00002268,peat soil,,,340m,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,W,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5244439,AMPLICON,PRJNA361508,SAMN06320719,VRIJE UNIVERSITEIT AMSTERDAM,public,SRX2551129,Illumina MiSeq,PAIRED,cDNA,METATRANSCRIPTOMIC,peat metagenome,ILLUMINA,2017-02-15T00:00:00Z,Ab2011-57,SRP099222,302,18087686,11264436,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2011-06-03,Ab2011-57-RNA,Sweden,Europe,Sweden:Abisko,68.359 N 18.81 E,"MIMARKS.survey,MIGS/MIMS/MIMARKS.soil",,,0-20,,,,,,tundra ENVO:01000180,sphagnum bog ENVO:00002268,peat soil,,,340m,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,A,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5244442,AMPLICON,PRJNA361508,SAMN06320718,VRIJE UNIVERSITEIT AMSTERDAM,public,SRX2551132,Illumina MiSeq,PAIRED,cDNA,METATRANSCRIPTOMIC,peat metagenome,ILLUMINA,2017-02-15T00:00:00Z,Ab2011-56,SRP099222,302,10795594,6846588,"sra,unknown_contigs,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2011-06-03,Ab2011-56-RNA,Sweden,Europe,Sweden:Abisko,68.359 N 18.81 E,"MIMARKS.survey,MIGS/MIMS/MIMARKS.soil",,,0-20,,,,,,tundra ENVO:01000180,sphagnum bog ENVO:00002268,peat soil,,,340m,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,W,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5244444,AMPLICON,PRJNA361508,SAMN06320717,VRIJE UNIVERSITEIT AMSTERDAM,public,SRX2551134,Illumina MiSeq,PAIRED,cDNA,METATRANSCRIPTOMIC,peat metagenome,ILLUMINA,2017-02-15T00:00:00Z,Ab2011-55,SRP099222,302,8161852,5177431,"fastq,unknown_contigs,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2011-06-03,Ab2011-55-RNA,Sweden,Europe,Sweden:Abisko,68.359 N 18.81 E,"MIMARKS.survey,MIGS/MIMS/MIMARKS.soil",,,0-20,,,,,,tundra ENVO:01000180,sphagnum bog ENVO:00002268,peat soil,,,340m,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,A,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5244446,AMPLICON,PRJNA361508,SAMN06320716,VRIJE UNIVERSITEIT AMSTERDAM,public,SRX2551136,Illumina MiSeq,PAIRED,cDNA,METATRANSCRIPTOMIC,peat metagenome,ILLUMINA,2017-02-15T00:00:00Z,Ab2011-54,SRP099222,302,16980554,10608726,"fastq,sra,unknown_contigs","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",2011-06-03,Ab2011-54-RNA,Sweden,Europe,Sweden:Abisko,68.359 N 18.81 E,"MIMARKS.survey,MIGS/MIMS/MIMARKS.soil",,,0-20,,,,,,tundra ENVO:01000180,sphagnum bog ENVO:00002268,peat soil,,,340m,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,W,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5244448,AMPLICON,PRJNA361508,SAMN06320715,VRIJE UNIVERSITEIT AMSTERDAM,public,SRX2551138,Illumina MiSeq,PAIRED,cDNA,METATRANSCRIPTOMIC,peat metagenome,ILLUMINA,2017-02-15T00:00:00Z,Ab2011-53,SRP099222,302,15130502,9383664,"unknown_contigs,sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",2011-06-03,Ab2011-53-RNA,Sweden,Europe,Sweden:Abisko,68.359 N 18.81 E,"MIMARKS.survey,MIGS/MIMS/MIMARKS.soil",,,0-20,,,,,,tundra ENVO:01000180,sphagnum bog ENVO:00002268,peat soil,,,340m,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5244450,AMPLICON,PRJNA361508,SAMN06320714,VRIJE UNIVERSITEIT AMSTERDAM,public,SRX2551140,Illumina MiSeq,PAIRED,cDNA,METATRANSCRIPTOMIC,peat metagenome,ILLUMINA,2017-02-15T00:00:00Z,Ab2011-52,SRP099222,302,12898420,8120924,"sra,unknown_contigs,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",2011-06-03,Ab2011-52-RNA,Sweden,Europe,Sweden:Abisko,68.359 N 18.81 E,"MIMARKS.survey,MIGS/MIMS/MIMARKS.soil",,,0-20,,,,,,tundra ENVO:01000180,sphagnum bog ENVO:00002268,peat soil,,,340m,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,W,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5244451,AMPLICON,PRJNA361508,SAMN06320713,VRIJE UNIVERSITEIT AMSTERDAM,public,SRX2551141,Illumina MiSeq,PAIRED,cDNA,METATRANSCRIPTOMIC,peat metagenome,ILLUMINA,2017-02-15T00:00:00Z,Ab2011-51,SRP099222,151,64657596,38580620,"fastq,sra,unknown_contigs","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",2011-06-03,Ab2011-51-RNA,Sweden,Europe,Sweden:Abisko,68.359 N 18.81 E,"MIMARKS.survey,MIGS/MIMS/MIMARKS.soil",,,0-20,,,,,,tundra ENVO:01000180,sphagnum bog ENVO:00002268,peat soil,,,340m,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,A,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5244453,AMPLICON,PRJNA361508,SAMN06320712,VRIJE UNIVERSITEIT AMSTERDAM,public,SRX2551143,Illumina MiSeq,PAIRED,cDNA,METATRANSCRIPTOMIC,peat metagenome,ILLUMINA,2017-02-15T00:00:00Z,Ab2011-50,SRP099222,151,18832418,11322761,"unknown_contigs,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",2011-06-03,Ab2011-50-RNA,Sweden,Europe,Sweden:Abisko,68.359 N 18.81 E,"MIMARKS.survey,MIGS/MIMS/MIMARKS.soil",,,0-20,,,,,,tundra ENVO:01000180,sphagnum bog ENVO:00002268,peat soil,,,340m,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,W,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5244455,AMPLICON,PRJNA361508,SAMN06320711,VRIJE UNIVERSITEIT AMSTERDAM,public,SRX2551145,Illumina MiSeq,PAIRED,cDNA,METATRANSCRIPTOMIC,peat metagenome,ILLUMINA,2017-02-15T00:00:00Z,Ab2011-49,SRP099222,302,16833480,10508197,"sra,unknown_contigs,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2011-06-03,Ab2011-49-RNA,Sweden,Europe,Sweden:Abisko,68.359 N 18.81 E,"MIMARKS.survey,MIGS/MIMS/MIMARKS.soil",,,0-20,,,,,,tundra ENVO:01000180,sphagnum bog ENVO:00002268,peat soil,,,340m,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR5244456,AMPLICON,PRJNA361508,SAMN06320710,VRIJE UNIVERSITEIT AMSTERDAM,public,SRX2551146,Illumina MiSeq,PAIRED,cDNA,METATRANSCRIPTOMIC,peat metagenome,ILLUMINA,2017-02-15T00:00:00Z,Ab2011-48,SRP099222,151,28583998,16643868,"sra,fastq,unknown_contigs","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",2011-06-03,Ab2011-48-RNA,Sweden,Europe,Sweden:Abisko,68.359 N 18.81 E,"MIMARKS.survey,MIGS/MIMS/MIMARKS.soil",,,0-20,,,,,,tundra ENVO:01000180,sphagnum bog ENVO:00002268,peat soil,,,340m,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,W,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
